STATE_NAME,COUNTY_NAME,TOTAL_POPULATION,RUCC
Virginia,Alexandria,154706,1
Virginia,Westmoreland,18731,8
Vermont,Chittenden,168865,3
Texas,Trinity,13827,8
Vermont,Franklin,50325,3
Virginia,Orange,37188,6
Texas,Val Verde,47564,5
Texas,Upshur,41774,2
Virginia,Henrico,333554,1
Virginia,Fairfax City,24276,1
Texas,Walker,77977,4
Virginia,Craig,4865,2
Virginia,Portsmouth,97840,1
Virginia,Prince Edward,21932,6
Texas,Smith,237186,3
Vermont,Lamoille,26126,8
Texas,Webb,267945,2
Utah,Wasatch,36173,4
Virginia,Amherst,31273,2
Virginia,Sussex,10763,1
Texas,Wood,45875,6
Virginia,Norfolk,235089,1
Texas,Throckmorton,1495,9
Texas,Van Zandt,61275,8
Utah,Kane,7992,8
Texas,Travis,1305154,1
Washington,Asotin,22397,3
Virginia,Warren,40925,1
Virginia,Campbell,55492,2
Texas,Swisher,7008,8
Texas,Sherman,2798,9
Virginia,Salem,25373,2
Virginia,Nottoway,15594,8
Washington,Clark,511404,1
Virginia,Scott,21419,2
Virginia,New Kent,23897,1
Utah,Emery,9967,9
Vermont,Windham,46090,7
Virginia,Richmond City,226604,1
Utah,Rich,2597,8
Utah,Grand,9663,7
Texas,Shelby,23939,7
Virginia,Page,23807,8
Virginia,Dickenson,13787,9
Texas,San Augustine,7922,9
Vermont,Caledonia,30403,9
Texas,Willacy,20316,6
Virginia,Fredericksburg,28367,1
Virginia,Bristol,17054,2
Utah,Iron,60519,4
Vermont,Orange,29541,9
Virginia,Petersburg,33429,1
Virginia,Staunton,25661,3
Virginia,Falls Church,14493,1
Virginia,Franklin,54938,2
Utah,Sanpete,29106,6
Virginia,Lancaster,10928,9
Texas,Williamson,643026,1
Virginia,Bland,6173,8
Virginia,Appomattox,16353,2
Texas,Stonewall,1217,9
Texas,Taylor,143326,3
Virginia,Hopewell,23140,1
Virginia,Floyd,15566,3
Utah,Wayne,2558,9
Virginia,Spotsylvania,143676,1
Texas,Sterling,1381,8
Utah,Uintah,36204,7
Virginia,Prince George,42880,1
Virginia,Winchester,28136,3
Virginia,Halifax,33738,6
Virginia,Manassas,42708,1
Virginia,Waynesboro,22550,3
Vermont,Windsor,58196,7
Virginia,Highland,2226,8
Virginia,Danville,42215,4
Texas,Titus,31183,7
Virginia,Fauquier,73815,1
Virginia,Virginia Beach,457672,1
Virginia,Russell,25550,8
Utah,Sevier,21906,7
Virginia,Fairfax,1139720,1
Texas,Tom Green,119411,3
Utah,Morgan,12657,2
Virginia,Colonial Heights,18273,1
Virginia,Loudoun,427592,1
Virginia,Bedford,80131,2
Virginia,Wythe,28178,6
Utah,Beaver,7249,9
Virginia,Albemarle,113535,3
Virginia,Dinwiddie,27912,1
Virginia,Augusta,77563,3
Vermont,Essex,5925,9
Virginia,Clarke,14881,1
Virginia,Montgomery,98473,3
Virginia,Nelson,14790,3
Texas,Young,17977,7
Texas,Tyler,20077,8
Vermont,Grand Isle,7421,3
Virginia,Buckingham,16947,8
Virginia,Giles,16562,3
Virginia,Charlottesville,45672,3
Texas,Shackelford,3212,8
Virginia,Mecklenburg,30248,7
Utah,Utah,684986,2
Texas,Rusk,52743,2
Texas,Scurry,16824,7
Virginia,Cumberland,9681,8
Texas,Roberts,797,9
Virginia,Goochland,25488,1
Texas,Schleicher,2429,8
Virginia,Radford,16499,3
Virginia,Fluvanna,27723,3
Virginia,Essex,10573,8
Utah,Davis,367285,2
Texas,Ward,11194,6
Utah,Duchesne,19790,7
Utah,Box Elder,59688,4
Texas,Wheeler,4927,9
Texas,Terrell,724,9
Virginia,Manassas Park,17002,1
Virginia,Isle of Wight,39278,1
Virginia,Greene,20968,3
Texas,San Jacinto,27878,1
Virginia,Wise,35647,7
Virginia,Greensville,11437,6
Utah,Garfield,5129,9
Virginia,Gloucester,39069,1
Virginia,Smyth,29477,7
Virginia,Lynchburg,79009,2
Virginia,Chesterfield,370688,1
Virginia,Rockbridge,22641,6
Virginia,Charlotte,11448,8
Texas,Reeves,14487,7
Texas,Winkler,7415,6
Virginia,Botetourt,33866,2
Utah,San Juan,14489,9
Utah,Carbon,20372,7
Virginia,Alleghany,14986,6
Virginia,Suffolk,96194,1
Virginia,Grayson,15359,9
Virginia,Poquoson,12574,1
Virginia,King George,27489,8
Virginia,Charles City,6594,1
Texas,Refugio,6756,8
Virginia,Carroll,29048,6
Virginia,Stafford,160877,1
Vermont,Rutland,60591,7
Virginia,Frederick,93717,3
Washington,Chelan,79646,3
Virginia,Shenandoah,44752,6
Virginia,Emporia,5667,6
Virginia,Roanoke,96589,2
Virginia,Rockingham,84394,3
Virginia,Roanoke City,98865,2
Texas,Tarrant,2126477,1
Virginia,Prince William,484472,1
Texas,Zapata,13908,6
Virginia,Accomack,33246,9
Texas,Wilbarger,12731,6
Virginia,Buchanan,19816,9
Utah,Summit,43093,4
Texas,Waller,59781,1
Vermont,Orleans,27546,9
Utah,Juab,12155,2
Virginia,Richmond,9017,9
Washington,Benton,210025,2
Texas,Sabine,10039,9
Texas,Starr,66049,4
Virginia,Martinsville,13517,4
Virginia,Buena Vista,6601,6
Texas,Wharton,41721,4
Virginia,Norton,3666,7
Texas,Uvalde,24729,6
Virginia,Chesapeake,251269,1
Washington,Clallam,78209,5
Virginia,Brunswick,15940,8
Virginia,King William,18171,1
Virginia,York,70915,1
Virginia,Northumberland,12029,9
Virginia,Franklin City,8217,6
Texas,Upton,3265,8
Utah,Washington,191226,3
Texas,Sutton,3319,9
Virginia,Southampton,18006,6
Virginia,Arlington,232965,1
Virginia,Louisa,38848,8
Virginia,James City,79882,1
Texas,Yoakum,7607,9
Utah,Piute,1487,9
Virginia,Pittsylvania,59972,4
Texas,San Patricio,69699,2
Texas,Victoria,90964,3
Texas,Zavala,9534,7
Virginia,Middlesex,10781,8
Virginia,Patrick,17602,8
Virginia,Henry,50248,4
Virginia,King and Queen,6662,1
Virginia,Northampton,12085,8
Virginia,Lexington,7456,6
Texas,Runnels,9943,8
Virginia,Caroline,31332,8
Virginia,Culpeper,53596,1
Texas,Somervell,9469,8
Texas,Stephens,9173,7
Virginia,Newport News,184587,1
Washington,Columbia,4042,8
Utah,Weber,267066,2
Virginia,Hanover,111603,1
Virginia,Lunenburg,11926,9
Texas,Wilson,51257,1
